pays,apprenant,mot (interlangue),mot (automatique),transcription automatique,transcription manuelle,erreur de déclinaison?,erreur de prononciation?
NL,2111,restaracja,restauracja,proszę iść prosto za szpitalem proszę skręcić w prawo proszę iść prosto prosto obok restauracja obok szkoły proszę iść prosto za sklepem proszę skręcić w lewo ulica dobra 4 jest na lewo,proszę iś prosto za szpitalem proszę skręcić w prawo proszę iść prosto prosto ob obok restaracja obok szkola proszę iść prosto za sklepem proszę skręcić w lewo ulica dobra ctery jest na lewo,oui,oui
NL,2111,szkola,szkoły,,,oui,oui
NL,2111,ctery,4,,,,oui
NL,2109,szklep,szkoły,proszę iść prosto ulica niska za szpital skręcić w prawo ulica julisza słowackiego proszę iść prosto obok szkoły obok szkoły obok teatru obok szkoły za szkołę proszę skręcić w lewo w lewo ulica dobra i tam jest dom kowalski na lewo,proszę iś prosto ulica niska za szpital skr skręcić w prawo ulica juliusza słowackiego proszę iść prosto obok szkoła obok uniwersytet obok teatr obok szklep za szklep proszę skręcić w lewo w lewo ulica dobra i tam jestem dom kowalski na lewo,,oui
NL,2109,szklep,szkoły,,,,oui
NL,2113,ulicja,ulicę,stacja prosi o ulicę niską sprawiedliwość prosi o skręcenie prawej ulicy o ulicy słowackiej proszę o skręcenie prawej ulicy proszę o ulicę szkoły uniwersytetu teatru sztabu proszę o skręcenie prawej ulicy o ulicy dobrej proszę o skręcenie prawej ulicy dobrej ja lewę dom kowalski,starsza proszę prosto ulicja niska ta szpital proszę skręcić prawo ulica dżulius dżuliusa szło szłowackiego proszę prosto obok szkola obok uniwersytet obok teatr obok szklep tza szklep proszę skręcić w lewo w lewo a uliczia dobra proszę prosto a lewo es dom kowalski,oui,oui
NL,2113,dżulius,-,,,oui,oui
NL,2113,dżuliusa,-,,,,oui
NL,2113,szłowackiego,słowackiej,,,,oui
NL,2113,szkola,szkoły,,,oui,oui
NL,2113,szklep,sztabu,,,,oui
NL,2113,tza,-,,,,oui
NL,2113,szklep,-,,,,oui
NL,2113,uliczia,ulicy,,,,oui
NL,2120,ulicza,ulica,proszę jechać prosto ulica nyska proszę jechać prosto obok szpitalu proszę skręcić w prawo ulica nazywa się juliusza słowackiego proszę jechać prosto proszę jechać prosto obok restauracji obok biblioteki teatru obok sklepu za sklepem proszę skręcić w lewo ulica nazywa się ulica dobra proszę jechać prosto proszę jechać prosto prosto dom kowalski jest na lewo,proszę jechać prosto ulicza niska proszę jechać prosto obok szpitalu za szpitalu proszę skrędzić w prawo ulicza nazywa się juliusza słowaczkiego proszę jechać prosto prosto prosto prosto obok restoracja obok biblioteka teatr obok sklep za sklep za sklepem proszę skrędzić w lewo ulicza nazywa się ulicza dobra prosto dom kowalski jest na lewo,,oui
NL,2120,skrędzić,skręcić,,,,oui
NL,2120,ulicza,ulica,,,,oui
NL,2120,słowaczkiego,słowackiego,,,,oui
NL,2120,restoracja,restauracji,,,oui,oui
NL,2120,skrędzić,skręcić,,,,oui
NL,2120,ulicza,ulica,,,,oui
NL,2120,ulicza,ulica,,,,oui
NL,2105,staczja,stacji,do stacji proszę iść prosto obok szpital proszę skręcić w prawo ulica słowackiego proszę iść prosto obok restauracja obok szkoły i za szkleb proszę skręcić w lewo ulica dobra i dom ulica dobrej 4 jest na lewo,do staczja proszę iść prosto obok szpital proszę skręcić w prawo ulica słowackiego prosę proszę jiść prosto obok restoracja obok szkoła i za szklep proszę skręcić w lewo ulica dobra i dom ulica dobra cztery jest na lewo,oui,oui
NL,2105,prosę,-,,,,oui
NL,2105,jiść,iść,,,,oui
NL,2105,restoracja,restauracja,,,oui,oui
NL,2105,szklep,szkleb,,,,oui
NL,2117,ulicza,ulicą,proszę iść prosto za ulicą niżka za ospital skręć na prawo na ulicę juliusza słowackiego proszę iść prosto obok restauracji obok teatru obok sklepu za sklep skręć na lewo na ulicę dobrej i ulicę dobrej 4 ulicę słowackiego na lewo,proszę iś prosto za ulicza niszka za ospital skręcza na prawo ulicza juliusza slowakiego proszę iś prosto obok restoracja obok teatr obok sklep za sklep skręcza na lewo ulicza dobra i ulicza dobra sztery es na lewo,,oui
NL,2117,niszka,niżka,,,oui,oui
NL,2117,ospital,ospital,,,oui,oui
NL,2117,skręcza,skręć,,,,oui
NL,2117,ulicza,ulicę,,,,oui
NL,2117,slowakiego,słowackiego,,,,oui
NL,2117,restoracja,restauracji,,,oui,oui
NL,2117,skręcza,skręć,,,,oui
NL,2117,ulicza,ulicę,,,,oui
NL,2117,ulicza,ulicę,,,,oui
NL,2117,sztery,4,,,,oui
NL,2114,ulicia,ulica,ulica dobrej 4 proszę iść prosto a ulica niska za szpital proszę kręcić na prawo na ulicę juliusza słowackiego proszę iść prosto prosto prosto za sklep proszę kręcić w lewo na ulicę dobrej 4 na lewo,ulicia dobra stery iśt proszę iśt prosto a ulicia niska tza spital proszę kręcić wna prawo a ulicia julusza słowackiego proszę iść prosto proszę iść prosto prosto prosto prosto za sklep proszę kręcić na w lewo a ulicza dobra ulicia dobre numer sztery na lewo,,oui
NL,2114,iśt,-,,,,oui
NL,2114,iśt,iść,,,,oui
NL,2114,ulicia,ulica,,,,oui
NL,2114,tza,za,,,,oui
NL,2114,spital,szpital,,,oui,oui
NL,2114,wna,na,,,,oui
NL,2114,ulicia,ulicę,,,,oui
NL,2114,julusza,juliusza,,,,oui
NL,2114,ulicza,-,,,,oui
NL,2114,ulicia,ulicę,,,,oui
NL,2114,sztery,4,,,,oui
NL,2104,ulicza,ulica,ulica dobra 4 jest obok szklapu obok parku i za teatrem a ja jestem tu i idziemy do ulicy dobrej proszę iść prosto i skręcić w prawo ulica dobra 4 proszę słowackiego proszę iść prosto prosto i za sklep proszę iść w lewo a ulica dobra i dom jest na lewo,ulicza dobra stery jes obok szklepu obok banku i za teatr proszę iść prosto i szkręcić w prawo a ulica juliusza słowackiego proszę iść prosto prosto i za sklep proszę iść w lewo a ulica dobra i dom jest na lewo,,oui
NL,2104,jes,jest,,,,oui
NL,2104,szklepu,szklapu,,,,oui
NL,2104,szkręcić,skręcić,,,,oui
NL,2102,staczja,stacja,ta stacja proszę jedź prosto ulica niska za z hospitalu proszę kręcić w prawo ulica słowackiego i proszę jedź prosto proszę jedź prosto i za sklepem proszę kręcić w lewo ulica dobrej i na lewo dom kowalski jest nr 4,do staczja proszę jedz prosto ulica niska za zospitalu proszę kręcić w prawo ulica słowackiego proszę jedz prosto proszę jedz prosto i za szklepe proszę kręcić w lewo ulica dobra i na na lewo dom kowalski ject numer sztery,oui,oui
NL,2102,zospitalu,hospitalu,,,oui,oui
NL,2102,szklepe,sklepem,,,oui,oui
NL,2102,ject,jest,,,,oui
NL,2102,sztery,4,,,,oui
NL,2106,ulicza,ulicę,babcia anna proszę iść prosto na ulicę niska iść na szpital skręć się prosto skręć się prosto skręć się prosto skręć się w prawo a ulicę julijewska słowackiego i proszę iść prosto prosto prosto obok restaurancza obok teatru obok szkoły obok uniwersytetu a ulicę dobrej iść na sklep a ulicę dobrej skręć się w lewo w lewo tak i z nasz sklep tak a w lewo jest zielony dom numer 4,babcia Anna proszę iść prosto a ulicza niska iść na na szpital szkręcza pr prosto ne prawo szkręczać w prawo a ulicza julieszka słowackiego i proszę iść prosto prosto prosto obok restoranczja obok teatr obok szkola obok uniwerszitet a ulicza dobra iść na szklep szkręcza w lewo tak i zna sklep a w lewo jest zielon zielony dom numer sztery,,oui
NL,2106,szkręcza,skręć się,,,,oui
NL,2106,szkręczać,skręć się,,,,oui
NL,2106,ulicza,ulicę,,,,oui
NL,2106,julieszka,julijewska,,,,oui
NL,2106,restoranczja,restaurancza,,,oui,oui
NL,2106,szkola,szkoły,,,oui,oui
NL,2106,uniwerszitet,uniwersytetu,,,oui,oui
NL,2106,ulicza,ulicę,,,,oui
NL,2106,szklep,sklep,,,,oui
NL,2106,szkręcza,skręć się,,,,oui
NL,2106,zielon,-,,,oui,oui
NL,2106,sztery,4,,,,oui
NL,2118,sztery,4,ulicy dobrej 4 jestem obok sklepu i obok parku proszę iść prosto na ulicę nińska za szpital proszę skręcić na prawo w ulicy juliu za słowackiego proszę iść prosto obok restauracja i obok szkoły obok uniwersytetu i za szklep proszę skręcić w lewo na ulicę dobrej i obok za szklep jest ulica dobrej nr 2 nr 4 po lewej,ulice dobry sztery jestem obok szklep i obok park proszę iśt prosto ulica niska tza szpital proszę skręcić na prawo w ulica juliusz juliusza slowackiego proszę iść prosto obok restoraczja i obok szkoła obok uniwersytet i za szklep proszę szkręcić w lewo ulica dro dobra i obok za szklep jest ulica dobra numero sztery po lewe,,oui
NL,2118,szklep,sklepu,,,,oui
NL,2118,iśt,iść,,,,oui
NL,2118,tza,za,,,,oui
NL,2118,slowackiego,słowackiego,,,,oui
NL,2118,restoraczja,restauracja,,,oui,oui
NL,2118,szklep,szklep,,,,oui
NL,2118,szkręcić,skręcić,,,,oui
NL,2118,dro,-,,,,oui
NL,2118,szklep,szklep,,,,oui
NL,2118,numero,nr,,,,oui
NL,2118,sztery,4,,,,oui
NL,2116,spitalem,szpitalem,proszę iść prosto ulica niska za szpitalem skręcić w prawo proszę iść prosto obok teatru obok szkoły obok uniwersytetu i za sklepem skręć w lewo ulica dobra i ulica dobra jest dobra 4 jest na lewo,tak proszę idź prosto ulica niska za spitalem skręcić w prawo proszę idź prosto obok teatr obok skola obok uniwersitet i za sklepem skręć w lewo ulica dobra i ulica dobra jest dobra sztery jest na lewo,,oui
NL,2116,skola,szkoły,,,oui,oui
NL,2116,uniwersitet,uniwersytetu,,,oui,oui
NL,2116,sztery,4,,,,oui
NL,2107,ulicza,ulica,proszę prosto ulica niska proszę proszę skręcić na prawo do szpitala na prawo do no dobrze proszę prosto i ludzie dzielą się słowem niemieckim proszę prosto obok szkoły obok uniwersytetu i ten sklep proszę proszę skręcić na lewo i proszę prosto i na lewo jest ulicy dobrej 4,proszę proszą proszę prosto ulicza niska i proszę skręcić na prewo za szpitalem proszę pres prosto i luczi juliżasi slowacziego proszę prosto obok skola obok juniwersitet i sza szklep proszę skrędzić na wo na dole na lewo i proszę prosto i na lewo jest julicza dobra czjery,,oui
NL,2107,prewo,prawo,,,,oui
NL,2107,pres,proszę,,,,oui
NL,2107,luczi,ludzie,,,oui,oui
NL,2107,juliżasi,-,,,oui,oui
NL,2107,slowacziego,-,,,,oui
NL,2107,skola,szkoły,,,oui,oui
NL,2107,juniwersitet,uniwersytetu,,,oui,oui
NL,2107,szklep,sklep,,,,oui
NL,2107,skrędzić,skręcić,,,,oui
NL,2107,julicza,ulicy,,,,oui
NL,2107,czjery,4,,,,oui
NL,2108,restoracja,restauracja,proszę iść prosto a ulica niska za szpitalem proszę skręcić w prawo a ulica juliusza słowackiego proszę iść prosto prosto obok restauracja obok teatru obok szkoły za sklepem proszę skręcić w lewo ta jest ulica dobra a nr 4 jest na lewo,proszę iść prosto a ulica niska za szpitalem proszę skręcić w prawo a ulica juliu juliusza słowackiego proszę iść prosto prosto obok restoracja obok teatru obok skołe za sklepem proszę skręcić w lewo ta jest ulica dobra a numer sztery jest a lewo na lewo,oui,oui
NL,2108,skołe,szkoły,,,oui,oui
NL,2108,sztery,4,,,,oui
NL,2101,ulicza,ulicę,proszę iść po prostu ulicę niska za hospitałem skręcić po prostu w prawo ulicę słowaksiego proszę iść po prostu po prostu po prostu po prostu obok sklepu skręcić w lewo obok park obok sklep ulica dobra nr 4,proszę iść prosto ulicza niska za hospital kręciks prosto na na w prewo w prawo uliczia słowa słowaksiego proszę iść prosto prosto prosto prosto obok szklep szkręcić w lewo obok park obok szklep uliczia dobra numer cztery,,oui
NL,2101,hospital,hospitałem,,,oui,oui
NL,2101,kręciks,skręcić,,,,oui
NL,2101,prewo,-,,,,oui
NL,2101,uliczia,ulicę,,,,oui
NL,2101,słowaksiego,słowaksiego,,,,oui
NL,2101,szklep,sklepu,,,,oui
NL,2101,szkręcić,skręcić,,,,oui
NL,2101,szklep,sklep,,,,oui
NL,2101,uliczia,ulica,,,,oui
UK,3102,ulicja,ulicia,proszę iż proste ulicia niska obok zapital strategie prawo ulicia juliane z słow-wachsliga obok zapital obok restaurantaż obok w szkole obok teatr obok sklep strangik lewo ulicia dobla slewi,proszę iś proste ulicja niska obok zapital stradżik prawo ulicja żulianizi slowłasigo obok zapital obok restrantaże obok zskola obok teatre obak sklep strędżik lewo ulicja dobra,oui,oui
UK,3102,zapital,zapital,,,oui,oui
UK,3102,stradżik,strategie,,,,oui
UK,3102,ulicja,ulicia,,,oui,oui
UK,3102,żulianizi,juliane,,,oui,oui
UK,3102,slowłasigo,słow-wachsliga,,,,oui
UK,3102,zapital,zapital,,,oui,oui
UK,3102,restrantaże,restaurantaż,,,oui,oui
UK,3102,zskola,szkole,,,oui,oui
UK,3102,teatre,teatr,,,oui,
UK,3102,obak,obok,,,,oui
UK,3102,strędżik,strangik,,,,oui
UK,3102,ulicja,ulicia,,,oui,oui
UK,3115,iszte,jeszcze,proszę im jeszcze proszto i za szpital proszę skręcić w prawo ulicę słowackiego proszę iść prosto obok restauracji i obok teatry i za sklep o no o o sorry i za sklep proszę skręcić w lewo ulicę dobrą i za sklep proszę skręcić w lewo,proszę iszte proszto i za szpital proszę skręcić w prawo w ulicę słowackiego proszę iśte proszto obok restaracji i obok teatre i za sklep za szklepem proszę skręcić w lewo w olicę dobra i i zna znaduj zię w lewo,,oui
UK,3115,proszto,proszto,,,,oui
UK,3115,iśte,iść,,,,oui
UK,3115,proszto,prosto,,,,oui
UK,3115,restaracji,restauracji,,,,oui
UK,3115,teatre,teatry,,,oui,
UK,3115,szklepem,sklep,,,,oui
UK,3115,olicę,ulicę,,,,oui
UK,3115,znaduj,-,,,,oui
UK,3115,zię,-,,,,oui
UK,3119,proszto,prosto,proszę iść prosto aż pytał skręcić prawo proszę iść prosto a słowackiego i proszę iść prosto a sklep skręcić świtło,proszę iść proszto a szpital skręcić prawo i proszę proszto a słowackiego i proszę proszto i a sklep skręcić lewo,,oui
UK,3119,proszto,prosto,,,,oui
UK,3119,proszto,prosto,,,,oui
UK,3112,prosteu,-,dzień dobry jak masz na imię ma na imię helen dziękuję first part jesteśmy na stacji kolejowej w krakowie ja jestem turystą z warsztatem jesteśmy na stacji kolejowej w krakowie ja jestem turystą z warszawy ty mieszkasz w krakowie ja pytam ciebie o informację przepraszam jak dojść na ulicę do brącztery nie się nie zauważy przepraszam jak dojść na ulicę do brącztery ja jestem turystą z warsztatem ty mieszkasz w krakowie ja jestem turystą z warsztatem ty mieszkasz w brącztery ja jestem turystą z warsztatem ty mieszkasz w brącztery nie zauważy dziękuję bardzo,proszę iś prosteu ulica niska za spital skręcić w praweu w ulicę juliske slowakiego proszę iś prosteu obok restracji obok tieat obok szkola za szklepe skręcić leweu naguje się na leweu,,oui
UK,3112,spital,-,,,oui,oui
UK,3112,praweu,-,,,,oui
UK,3112,juliske,-,,,oui,oui
UK,3112,slowakiego,-,,,,oui
UK,3112,prosteu,-,,,,oui
UK,3112,restracji,-,,,,oui
UK,3112,tieat,-,,,oui,oui
UK,3112,szkola,-,,,oui,oui
UK,3112,szklepe,-,,,oui,oui
UK,3112,leweu,-,,,,oui
UK,3112,naguje,-,,,,oui
UK,3112,leweu,-,,,,oui
UK,3109,ulisa,ulicy,iść prosto ulicy niska obok spytan skręci się z powrotem ulicy dula ulicy swalckiego obok restauracji obok goła obok teatry obok sklep skręci się z ulicy dobrej a dom kawalski nr 6,idź prosto ulisa niska obok spital skręcić prawo ulisa dżola dżuliska słowackiego obok restracji obok skoła obok teaczre obok sklep skręcinć ulisze dobre dom kowalski numeu stery,,oui
UK,3109,spital,spytan,,,oui,oui
UK,3109,ulisa,ulicy,,,,oui
UK,3109,dżola,dula,,,,oui
UK,3109,dżuliska,ulicy,,,,oui
UK,3109,restracji,restauracji,,,,oui
UK,3109,skoła,goła,,,oui,oui
UK,3109,teaczre,teatry,,,oui,oui
UK,3109,skręcinć,skręci,,,,oui
UK,3109,ulisze,ulicy,,,oui,oui
UK,3109,numeu,nr,,,,oui
UK,3114,juliuza,-,olicy są słowackiego proszę iść prosto obok restauracji obok szkola obok teatra i żar szklebo proszę skręcić olicę dobre proszę iść prosto dom znajdowsze w level,proszę iś prosto ulica niska za szpital proszę skręcić w prawo ulice juliuza slowackiego proszę iśt prosto obok restraca obok szkola obok teatre i za szklepe proszę skręcić ulisę dobra proszę iś prosto dom znajduje się w lewo,,oui
UK,3114,slowackiego,słowackiego,,,,oui
UK,3114,iśt,iść,,,,oui
UK,3114,restraca,restauracji,,,oui,oui
UK,3114,szkola,szkola,,,oui,oui
UK,3114,teatre,teatra,,,oui,
UK,3114,szklepe,szklebo,,,oui,oui
UK,3114,ulisę,olicę,,,,oui
UK,3117,prastou,presto,proszę iść presto ulicze niska i zbytal,proszę iść prastou ulicza niska i a za spital lewo skręczen lewen lewou ulicza dżulienca i iś pros iśt prosteu ulicza stowancziengeu a ulicz dobra skrenczen le leweu,,oui
UK,3117,ulicza,ulicze,,,,oui
UK,3117,spital,zbytal,,,oui,oui
UK,3117,skręczen,-,,,,oui
UK,3117,lewen,-,,,,oui
UK,3117,lewou,-,,,,oui
UK,3117,ulicza,-,,,,oui
UK,3117,dżulienca,-,,,,oui
UK,3117,iśt,-,,,,oui
UK,3117,prosteu,-,,,,oui
UK,3117,ulicza,-,,,,oui
UK,3117,stowancziengeu,-,,,,oui
UK,3117,ulicz,-,,,oui,oui
UK,3117,skrenczen,-,,,,oui
UK,3117,leweu,-,,,,oui
UK,3108,uliszia,ulicy,proszę iść prosto z ulicy niska za szpitalem skręcić prawo w ulicy słowakiego iść prosto obok restauracji szkola uniwersytet za szklepem skręcić lewo w lewo w ulicie dorba don makowalski w lewo,proszę idź prosto z uliszia niska za szpitalem skręczić prawo skręcić w prawo w ulisję ulica słowakiego iść prosto obok restracje szkole uniwersytet za szklepem skrędzić lewo w lewo w ulisja dorba doma kowalski w lewo,oui,oui
UK,3108,skręczić,skręcić,,,,oui
UK,3108,ulisję,ulicy,,,,oui
UK,3108,słowakiego,słowakiego,,,,oui
UK,3108,restracje,restauracji,,,oui,oui
UK,3108,szklepem,szklepem,,,,oui
UK,3108,skrędzić,skręcić,,,,oui
UK,3108,ulisja,ulicie,,,oui,oui
UK,3108,dorba,dorba,,,oui,oui
UK,3108,doma,don,,,oui,
UK,3107,prostro,prostro,proszę iść prostro w ulicze misko obok szpital za szpitalem proszę skręcić wyprawo w ulicze luliusa słowackiego proszę iść prostro obok restauracja obok szkoła obok teatr za szklepem proszę skręcić w lewo w ulicze dobrej numer cztery za naszewę na lewo,proszę iś prostro w ulica nisko obok obok szpital za szpitalem proszę skręcić w prawo w ulica juliusa słowackiego iś proszę iś prostro obok restoracja obok skoło obok teatre i za szklepem proszę skręcić w lewo w ulica dobra numer czery żanaszewe ne naszewa żę na lewo,,oui
UK,3107,juliusa,luliusa,,,,oui
UK,3107,prostro,prostro,,,,oui
UK,3107,restoracja,restauracja,,,oui,oui
UK,3107,skoło,szkoła,,,,oui
UK,3107,teatre,teatr,,,oui,
UK,3107,szklepem,szklepem,,,,oui
UK,3107,czery,cztery,,,,oui
UK,3107,żanaszewe,-,,,,oui
UK,3107,naszewa,naszewę,,,,oui
UK,3107,żę,-,,,,oui
UK,3116,proszto,proś do,proszę iść proś do ulicy niska za szpitalem proszę skręcić w prawo proszę iść proś do obok restauracja obok teater za szklepem proszę skręcić w lewo bo najduje się stery ulicy dobra na lewo,proszę idź proszto alica niska za szpitalem proszę szkręcić w prawo proszę idź proszto obok restoracja obok teatre za szklepem proszę szkręcić w lewo znajduje się cztery ulica dobra na lewo,,oui
UK,3116,alica,ulicy,,,oui,oui
UK,3116,szkręcić,skręcić,,,,oui
UK,3116,proszto,proś do,,,,oui
UK,3116,restoracja,restauracja,,,oui,oui
UK,3116,teatre,teater,,,oui,
UK,3116,szklepem,szklepem,,,,oui
UK,3116,szkręcić,skręcić,,,,oui
UK,3113,zo,to,proszę proszę iść powsta ulicjaniska to specjal proszę skaczyć prawo iść po prostu ulicja ulicja w słowach jego obok muzeum obok reserwacji obok szkoła teatr proszę skręcić proszę skręcić ulicja do ulicy dobrej 4 tom kowalski,proszę proszę iść prosto ulica niska zo zo spital proszę skaczie w prawo iś prosto ulicja ulisja słowakiego obok muzeum obok restauracji obok szkoła tieatr poszę skręcie proszę skręcie w lewo ulicja dobra najduje się na lewo dom kowalski zielony dom,,oui
UK,3113,zo,-,,,,oui
UK,3113,spital,specjal,,,oui,oui
UK,3113,skaczie,skaczyć,,,,oui
UK,3113,ulicja,ulicja,,,oui,oui
UK,3113,ulisja,ulicja,,,oui,oui
UK,3113,słowakiego,słowach jego,,,,oui
UK,3113,tieatr,teatr,,,oui,oui
UK,3113,poszę,proszę,,,,oui
UK,3113,ulicja,ulicja,,,oui,oui
UK,3113,najduje,-,,,,oui
GE,4109,skęczać,skęszacz,proszę i czy prosto i prosto ulica niska i potem skęszacz prawu za hotelu ulica na sebaszej ulica juliusze słowackiego i prosto prosto prosto obok restauracji szkole uniwersytet i sklepu i salsklepu skręszacz lewo ulica dobra i obok sklepu i park jest dom,proszę idź prostu i prostu ulica niska i potem skęczać prawo za hotelu ulica nazywa się jul ulica julisze juliusze slowackiego i prostu prostu prostu obok restoracja skole uniwersitet i sklepu za sklepu skręczać lewo ulica dobra i obok sklepu i park jest dom,,oui
GE,4109,julisze,juliusze,,,oui,oui
GE,4109,slowackiego,słowackiego,,,,oui
GE,4109,restoracja,restauracji,,,oui,oui
GE,4109,skole,szkole,,,oui,oui
GE,4109,uniwersitet,uniwersytet,,,oui,oui
GE,4109,skręczać,skręszacz,,,,oui
GE,4112,ulicza,ulicza,na ulicza stede i idzie na ulicza niska za spitalu i skredensza a prawo nazywasz się na ulicza julusza slovatiego ic prosto prosto obok skola obok uniwersyteczna obok teatry skręcza na lewo za ulica dobra i stede a lewo,na ulicza stery idź na ulica niska za spitalu i skrencza a prawo nazywa sien ta ulica julusza slowakiego idź prosto prosto obok skola obok uniwersitecia obok teatre skrencza na lewo za ulica dobra i ulica dobra stery a lewo,,oui
GE,4112,spitalu,spitalu,,,oui,oui
GE,4112,skrencza,skredensza,,,,oui
GE,4112,sien,się,,,,oui
GE,4112,julusza,julusza,,,,oui
GE,4112,slowakiego,slovatiego,,,,oui
GE,4112,skola,skola,,,oui,oui
GE,4112,uniwersitecia,uniwersyteczna,,,oui,oui
GE,4112,teatre,teatry,,,oui,
GE,4112,skrencza,skręcza,,,,oui
GE,4113,sztery,cztery,tak ulicza dobra cztery jest obok parku i obok sklep proszę iść prosto i za szpitalem skręcić naprawo iść prosto iść przeżywania prosto i obok szkola i uniwersytet i za sklepem skręcić na lewu na ulicza dobra i ulicza dobra cztery jest na lewu,tak ulica dobra sztery jest obuk parku i obok sklep proszę idź prosto i za szpitalem skręc skręcić na prawo i idź prosto i szyżowanie prosto idź prostu prosto i obok szkula i uniwezitet i za sklepem skręcić na lewo na ulicza dobra i ulicza dobra sztery jest na lewo,,oui
GE,4113,obuk,obok,,,,oui
GE,4113,skręc,-,,,,oui
GE,4113,szyżowanie,przeżywania,,,oui,oui
GE,4113,szkula,szkola,,,oui,oui
GE,4113,uniwezitet,uniwersytet,,,oui,oui
GE,4113,ulicza,ulicza,,,,oui
GE,4113,ulicza,ulicza,,,,oui
GE,4113,sztery,cztery,,,,oui
GE,4120,prosztę,proszę,proszę idź prosto ulicza niska za za spital proszę idź sterecz a prawo ulicza juliska słowajeku proszę idź prosto i za sklep proszę idź sterecz a lewo ulicza dobra i a lewo jest dom numea stere,prosztę idź prosto ulicza niska za za spitae proszę idź steryć a prawo ulicza juliska slowajego slowakiego proszę idź prosto prosto prosto i za sklep proszę idź styryć a lewo ulicza dobra i a lewo jest dom nume sztery,,oui
GE,4120,ulicza,ulicza,,,,oui
GE,4120,spitae,spital,,,oui,oui
GE,4120,steryć,sterecz,,,,oui
GE,4120,ulicza,ulicza,,,,oui
GE,4120,juliska,juliska,,,oui,oui
GE,4120,slowajego,słowajeku,,,,oui
GE,4120,slowakiego,-,,,,oui
GE,4120,styryć,sterecz,,,,oui
GE,4120,ulicza,ulicza,,,,oui
GE,4120,nume,numea,,,oui,oui
GE,4120,sztery,stere,,,,oui
GE,4119,nazewa,nazeważe,proszę iść prosto ulica nazeważe ulica niska zna spitalem skręczać na brawo i ulica nazeważe ulica julijska słowakiego tam ulica iść proszę i proszę zna restauracja zna czeczołanie i zna obok biblioteka i skole i uniwersytety zna sklepu skręcić na lewo ulica nazeważe ulica dobra iść prosto i na lewo iść dom kowalska ulica dobra czery,stasza okej proszę iść prosto ulica nazewa się ulica niska zna spitalem skręczać na prawo i ulica nazywa się ulica juliszka slowi slowakiego tam ulica iść proszę i proszę sna restauracja sna czeczełanie i sna biblio obok biblioteka i skole i uniwersitete i sna sklepu skręcić na lewo ulica nazywa się ulica dobra i idź prosto i na lewo jest dom kowalska ulica dobra cziery,,oui
GE,4119,spitalem,spitalem,,,,oui
GE,4119,skręczać,skręczać,,,,oui
GE,4119,juliszka,julijska,,,oui,oui
GE,4119,slowi,-,,,,oui
GE,4119,slowakiego,slowakiego,,,,oui
GE,4119,sna,na,,,,oui
GE,4119,sna,zna,,,,oui
GE,4119,czeczełanie,czeczołanie,,,,oui
GE,4119,sna,zna,,,,oui
GE,4119,skole,skole,,,oui,oui
GE,4119,uniwersitete,uniwersytety,,,oui,oui
GE,4119,sna,zna,,,,oui
GE,4119,cziery,czery,,,,oui
GE,4117,ulicon,ulicę,proszę iść prosto ulicę niską za spitalem skręcić na prawo iść prosto i prosto i prosto za szeżowanie i obok sklepu i za sklepem skręcić na lewo i to jest na lewo dom rodziny kowalewskiej na ulica dobra nr 4,proszę idź prosto ulicon niskon za spitalem skręcić na prawo idź prosto i prosto i prosto za szyżowanie i obok skoly i obo obok sklepu i za sklepem skręcić na lewo i to jes na lewo dom rodziny kowalski na ulica dobra nume sztery,oui,oui
GE,4117,niskon,niską,,,,oui
GE,4117,spitalem,spitalem,,,,oui
GE,4117,szyżowanie,szeżowanie,,,oui,oui
GE,4117,skoly,-,,,,oui
GE,4117,obo,-,,,,oui
GE,4117,jes,jest,,,,oui
GE,4117,nume,nr,,,oui,oui
GE,4117,sztery,4,,,,oui
GE,4103,skręczyć,skręczać,proszę iść prosto na ulicę niska i za szpitalem proszę skręczać prawo nazywasz je ulica jujusza słowackiego i proszę iść prosto obok restauracji obok teatru obok uniwersytetu i za sklepem proszę iść proszę skręczać w lewu nazywasz je ulica dobrej i między parku i sklepem jest ulica dobrej numa stery na lewu,proszę idź prosto na ulicy niskie i za szpitalem proszę skręczyć w prawo nazywa się ulica juliusza slowackiego proszę idź prosto obok restaracja obok teatu obok uniwesytietu i za sklepem proszę idź proszę skręczać w lewo nazywa się ulica dobra między parku i sklepu jest ulica dobra numa stery na lewo,,oui
GE,4103,slowackiego,słowackiego,,,,oui
GE,4103,restaracja,restauracji,,,oui,oui
GE,4103,teatu,teatru,,,,oui
GE,4103,uniwesytietu,uniwersytetu,,,,oui
GE,4103,skręczać,skręczać,,,,oui
GE,4103,numa,numa,,,,oui
GE,4106,ulicza,ulicza,gręcić na prawo po prostu ulicza nazywa się niska z hospitalem gręcić na prawo po prostu ulica nazywa się juliusza sława jego po prostu żyjeżdżowanie po prostu obiek uniwezy obiek teatry za sklepu gręcić na lewo ulica nazywa się dobra do mnie jest ulicza dobra stery jest za sklepu na lewo,kręcić na prawo prosto ulicza nazywa zię niska za hospitalem kręcić na prawo prosto ulica nazywa się juliusza sławagiego prosto rzeżowanie prosto obek uniwezite obek teatre za sklepu kręcić na lewo ulica nazywa zię dobra dom jest ulicza dobra stery jest za sklepu na lewo,,oui
GE,4106,zię,się,,,,oui
GE,4106,hospitalem,hospitalem,,,,oui
GE,4106,sławagiego,sława jego,,,,oui
